seq,time,actor_account_id,actor_world,actor_id,actor_name,actor_born,actor_class,actor_party,actor_guild,actor_map_id,actor_map_oid,actor_zone_id,actor_location,actor_str2,entity_id,entity_dbid,entity_grade,entity_lv,entity_option,use_num1,new_num1,target_account_id,target_id,item_nm
190180937,2020-10-18 00:34:33.566,8611269,133,37436171902528058,적대,4,43701,536561674391667,0,1101,1101,881,-8253/33520/2,,100240008,37436171929697258,4,0,,1,1,201004,17374,세인트 듀얼 소드
210589076,2020-10-18 11:38:57.681,23784361,133,37436171902517396,망구리,5,46301,0,37436171902617261,1101,1101,881,18957/20562/2,귀농연합,100440009,37436171929746979,4,0,,1,1,201005,21575,망각의 활
218928879,2020-10-18 14:58:58.489,24870463,133,37436171902534611,Ares,5,41601,576144093019641,37436171902617271,6004,6004,1104,-6614/-10237/-431,엔젤,500730005,37436171929765200,3,0,,1,1,783001,21646,노르무스의 정령석
218929079,2020-10-18 14:58:58.795,24870463,133,37436171902534611,Ares,5,41601,576144093019641,37436171902617271,6004,6004,1104,-6614/-10237/-431,엔젤,701040004,37436171929765201,4,0,,1,1,783001,21646,지령의 마력석
218929267,2020-10-18 14:58:59.078,24870463,133,37436171902534611,Ares,5,41601,576144093019641,37436171902617271,6004,6004,1104,-6614/-10237/-431,엔젤,200240007,37436171929765202,4,0,,1,1,783001,21646,심판의 각반
225718145,2020-10-18 17:46:57.037,8611269,133,37436171902528058,적대,4,43701,0,37436171902617269,6003,6003,1103,-8343/15092/632,농사,300140008,37436171929778428,4,0,,1,1,781014,18160,아쿠아스톤 네크리스
234424349,2020-10-18 21:55:41.838,24385870,133,37999121855947633,뜻,1,46601,0,37436171902617266,6006,6006,1106,4115/-5243/70,하모니,300240003,37436171929802184,4,0,,1,1,781070,17638,마염의 귀걸이
698284275,2020-10-18 00:04:05.723,6945457,133,37436171902527698,존강,1,44601,0,0,1,1,810,310256/-70309/11062,,502240040,37436171929692956,4,0,,1,1,142086,62597,부패한 강화좀비의 혼
699183762,2020-10-18 00:10:18.172,25417296,133,37436171902552119,사마중달,1,48401,0,37436171902617261,1,1,829,328847/21753/1459,귀농연합,200240005,37436171929694010,4,0,,1,1,141179,66459,심연의 각반
708932161,2020-10-18 01:18:08.483,24870463,133,37436171902534611,Ares,5,48501,1328210047632884,37436171902617271,1,1,803,260410/18294/9969,엔젤,300240004,37436171929702008,4,0,,1,1,141189,26113,망상의 귀걸이
713336215,2020-10-18 01:49:00.571,25417296,133,37436171902552119,사마중달,1,48401,0,37436171902617261,1,1,829,330383/21331/1508,귀농연합,300340002,37436171929704266,4,0,,1,1,141180,122090,오만의 반지
713733214,2020-10-18 01:51:49.072,8611269,133,37436171902528058,적대,4,43701,885106861791013,0,1,1,307,8058/312892/13387,,500740020,37436171929413868,4,0,,1,3,123005,73261,판 나로드의 발톱
716072696,2020-10-18 02:08:20.222,572269,133,37436171902534928,판사,5,46801,1203965233719318,37436171902617271,1,1,235,-103909/117781/15693,엔젤,500740034,37436171929705543,4,0,,1,1,113007,120787,가레스의 손톱
717698567,2020-10-18 02:19:45.681,25417296,133,37436171902552119,사마중달,1,48401,0,37436171902617261,1,1,829,329807/22810/1417,귀농연합,200440009,37436171929706184,4,0,,1,1,141184,96113,심판의 부츠
723463237,2020-10-18 03:00:34.118,572269,133,37436171902534928,판사,5,46301,1327110535988463,37436171902617271,1,1,213,-118579/256016/10487,엔젤,502230019,37436171929708245,3,0,,1,1,113006,82024,스탄의 혼
723463589,2020-10-18 03:00:34.268,572269,133,37436171902534928,판사,5,46301,1327110535988463,37436171902617271,1,1,213,-118579/256016/10487,엔젤,500740017,37436171929634389,4,0,,1,2,113006,82024,스탄의 심장
724434843,2020-10-18 03:07:35.225,6945457,133,37436171902527698,존강,1,44601,0,0,1052,1052,702,29436/19927/1007,,100140001,37436171929708588,4,0,,1,1,191042,43724,크샨베르크
728681674,2020-10-18 03:38:23.869,8611269,133,37436171902528058,적대,4,43701,885106861791013,0,1,1,125,-217425/260233/4416,,500740002,37436171929247668,4,0,,1,4,103002,101457,바실라의 눈
730396824,2020-10-18 03:50:56.172,24870463,133,37436171902534611,Ares,5,41601,107752140935756,37436171902617271,1053,1053,703,-13750/20581/1000,엔젤,500740031,37436171929645134,4,0,,1,2,193002,98165,사무엘의 네뷸라이트
733701918,2020-10-18 04:15:10.331,24503574,133,37436171902530557,로베,5,51101,107752140935756,37436171902617271,1,1,810,308893/-63658/11064,엔젤,500740038,37436171929711677,4,0,,1,1,143008,33898,카브리오의 두루마리
735409187,2020-10-18 04:27:42.327,24503574,133,37436171902530557,로베,5,51101,107752140935756,37436171902617271,1,1,810,286624/-62845/9998,엔젤,500740039,37436171929712302,4,0,,1,1,143009,58778,플린트의 뼈
737451267,2020-10-18 04:42:42.679,572269,133,37436171902534928,판사,5,46801,107752140935756,37436171902617271,1,1,809,304242/86579/3417,엔젤,500730008,37436171929712995,3,0,,1,1,143004,90125,글라키의 조각
737504355,2020-10-18 04:43:06.172,572269,133,37436171902534928,판사,5,46801,107752140935756,37436171902617271,1,1,809,304205/86782/3412,엔젤,701040006,37436171929713024,4,0,,1,1,143004,90125,광휘의 마력석
738100189,2020-10-18 04:47:28.538,24503574,133,37436171902530557,로베,5,51101,107752140935756,37436171902617271,1,1,803,250764/14313/9287,엔젤,500740036,37436171929713210,4,0,,1,1,143003,75538,히실로메의 비늘
739009911,2020-10-18 04:54:09.330,572269,133,37436171902534928,판사,5,46101,0,37436171902617271,1,1,829,363192/29536/2457,엔젤,500740037,37436171929713490,4,0,,1,1,143014,119496,란도르의 깃털
752670383,2020-10-18 06:36:26.883,572269,133,37436171902534928,판사,5,46801,445302210588433,37436171902617271,1036,1036,226,-10366/29100/3000,엔젤,300340001,37436171929720476,4,0,,1,1,173003,93816,인페르노 링
755718289,2020-10-18 06:59:47.820,24385870,133,37999121855947633,뜻,1,46601,0,37436171902617266,1,1,809,316819/58255/3384,하모니,502240037,37436171929723167,4,0,,1,1,142024,87052,거신도 지휘관의 혼
760156635,2020-10-18 07:33:34.780,24503574,133,37436171902530557,로베,5,51101,0,37436171902617271,1053,1053,703,22890/-11213/1011,엔젤,200640007,37436171929725740,4,0,,1,1,191015,110807,헤르문쿠스의 망토
769219786,2020-10-18 08:41:52.977,24503574,133,37436171902530557,로베,5,51101,1142392582439126,37436171902617271,1,1,710,47142/72052/7573,엔젤,500740026,37436171929731743,4,0,,1,1,133002,64173,셀루의 어깨장식
773056788,2020-10-18 09:11:05.723,24503574,133,37436171902530557,로베,5,51101,1142392582439126,37436171902617271,1,1,715,-42073/29095/15769,엔젤,500740027,37436171929734278,4,0,,1,1,133003,55570,발보의 갑옷 조각
779881827,2020-10-18 10:02:07.775,8611269,133,37436171902528058,적대,4,43601,1792203954654119,0,1,1,130,-308122/67043/10136,,600340001,37436171929739105,4,0,,1,1,103004,38831,희귀 제작 레시피
779883547,2020-10-18 10:02:08.572,8611269,133,37436171902528058,적대,4,43601,1792203954654119,0,1,1,130,-308122/67043/10136,,100240004,37436171929739107,4,0,,1,1,103004,38831,다마스커스 듀얼 소드
780534245,2020-10-18 10:06:59.222,24870463,133,37436171902534611,Ares,5,48501,0,37436171902617271,1,1,803,257954/17753/9898,엔젤,200840005,37436171929739563,4,0,,1,1,142085,92563,페이탈 시길
785494790,2020-10-18 10:43:45.136,25218097,133,37436171902555130,Jaraffe,5,36390,0,37436171902617462,1,1,112,-272018/156587/6582,크로우,610340011,37436171928580558,4,0,,5,11,983001,32491,희귀 장신구 제작 레시피 조각 (각인)
787313473,2020-10-18 10:57:07.436,24503574,133,37436171902530557,로베,5,51101,886206373449800,37436171902617271,1,1,803,252107/13975/9287,엔젤,500740036,37436171929743682,4,0,,1,1,143003,28364,히실로메의 비늘
791974326,2020-10-18 11:31:33.321,25417296,133,37436171902552119,사마중달,1,48401,0,37436171902617261,1,1,829,331463/23129/1426,귀농연합,200440009,37436171929746463,4,0,,1,1,141184,109835,심판의 부츠
794154865,2020-10-18 11:47:30.391,572269,133,37436171902534928,판사,5,46301,0,37436171902617271,1,1,803,262250/12307/9507,엔젤,300340013,37436171929747613,4,0,,1,1,141033,85365,마염의 반지
798210360,2020-10-18 12:17:20.778,8611269,133,37436171902528058,적대,4,43601,1792203954654119,0,1052,1052,702,25494/18830/1003,,500740030,37436171929035511,4,0,,1,2,193001,90016,코룬의 가시
806286720,2020-10-18 13:15:09.131,8611269,133,37436171902528058,적대,4,43601,1792203954654119,0,1,1,217,-126290/275354/9059,,500740005,37436171928123645,4,0,,1,6,111061,44587,템페스트의 날개
810114917,2020-10-18 13:42:44.384,572269,133,37436171902534928,판사,5,46101,1086317489679186,37436171902617271,1,1,809,298812/84714/4145,엔젤,200740004,37436171929759376,4,0,,1,1,143004,99727,용사의 티셔츠
810122141,2020-10-18 13:42:47.480,24870463,133,37436171902534611,Ares,5,41601,1086317489679186,37436171902617271,1,1,809,298646/84800/4150,엔젤,500730008,37436171929759378,3,0,,1,1,143004,99727,글라키의 조각
810125544,2020-10-18 13:42:48.974,24870463,133,37436171902534611,Ares,5,41601,1086317489679186,37436171902617271,1,1,809,298646/84800/4150,엔젤,701040006,37436171929759382,4,0,,1,1,143004,99727,광휘의 마력석
813111765,2020-10-18 14:04:20.977,24870463,133,37436171902534611,Ares,5,41601,1086317489679186,37436171902617271,1,1,829,357592/17414/2232,엔젤,500740037,37436171929760937,4,0,,1,1,143014,47385,란도르의 깃털
816428760,2020-10-18 14:28:02.482,19217932,133,37436171902517251,서비,1,42301,0,37436171902617266,1,1,126,-243294/242195/6196,하모니,610340010,37436171928670035,4,0,,5,17,983003,109650,희귀 방어구 제작 레시피 조각 (각인)
816429729,2020-10-18 14:28:02.871,19217932,133,37436171902517251,서비,1,42301,0,37436171902617266,1,1,126,-243310/242173/6205,하모니,610340010,37436171928670035,4,0,,5,22,983003,109650,희귀 방어구 제작 레시피 조각 (각인)
824820989,2020-10-18 15:28:15.572,24870463,133,37436171902534611,Ares,5,41601,1400777815080939,37436171902617271,1046,1046,327,26076/20489/1519,엔젤,500730003,37436171929767561,3,0,,1,1,183001,76771,드래곤 비스트의 족쇄
829198295,2020-10-18 15:59:57.020,24870463,133,37436171902534611,Ares,5,41601,1400777815080939,37436171902617271,1,1,720,-37148/-85384/14289,엔젤,500740028,37436171929770016,4,0,,1,1,133004,104654,티미니엘의 날개
830849385,2020-10-18 16:11:49.756,24870463,133,37436171902534611,Ares,5,41601,1400777815080939,37436171902617271,1,1,210,-130581/243885/8946,엔젤,500730002,37436171929771037,3,0,,1,1,113001,101510,크루마의 심장
830850242,2020-10-18 16:11:50.125,24870463,133,37436171902534611,Ares,5,41601,1400777815080939,37436171902617271,1,1,210,-130581/243885/8946,엔젤,100240004,37436171929771040,4,0,,1,1,113001,101510,다마스커스 듀얼 소드
831057851,2020-10-18 16:13:20.103,8611269,133,37436171902528058,적대,4,43601,404620280139171,0,1,1,207,-181614/224105/10685,,500740015,37436171924908186,4,0,,1,7,113005,29075,티미트리스의 씨앗
831628115,2020-10-18 16:17:24.385,572269,133,37436171902534928,판사,5,46101,1400777815080939,37436171902617271,1053,1053,703,16092/-10164/1000,엔젤,200340001,37436171929771509,4,0,,1,1,193002,125250,푸른 늑대의 장갑
834961962,2020-10-18 16:40:53.121,24503574,133,37436171902530557,로베,5,51101,926888303414917,37436171902617271,1036,1036,226,26041/-13914/3000,엔젤,500373003,37436171929773407,3,0,,1,1,173003,110092,창술서 (프렌지)
834962742,2020-10-18 16:40:53.423,24503574,133,37436171902530557,로베,5,51101,926888303414917,37436171902617271,1036,1036,226,26041/-13914/3000,엔젤,500740024,37436171929773408,4,0,,1,1,173003,110092,카탄의 심장
835743005,2020-10-18 16:46:24.973,8611269,133,37436171902528058,적대,4,43601,404620280139171,0,1,1,204,-161353/190971/11832,,500740014,37436171929081334,4,0,,1,8,113003,46473,펠리스의 장부
842057540,2020-10-18 17:30:59.885,24503574,133,37436171902530557,로베,5,51101,926888303414917,37436171902617271,1,1,810,309059/-63026/11071,엔젤,200140007,37436171929777257,4,0,,1,1,143008,47966,둠 플레이트 아머
842083023,2020-10-18 17:31:10.723,24870463,133,37436171902534611,Ares,5,46201,926888303414917,37436171902617271,1,1,810,308984/-62676/10971,엔젤,600340001,37436171928234615,4,0,,1,15,143008,47966,희귀 제작 레시피
855805099,2020-10-18 19:08:31.033,6945457,133,37436171902527698,존강,1,44601,0,0,1,1,813,230966/64106/1396,,300340011,37436171929784762,4,0,,1,1,142079,49758,아쿠아스톤 링
865419016,2020-10-18 20:16:34.322,8611269,133,37436171902528058,적대,4,43701,567348001018444,37436171902617269,1,1,205,-101235/185043/14723,농사,500740004,37436171929790724,4,0,,1,1,113131,76484,판 드라이드의 뿔
874046244,2020-10-18 21:16:03.573,24870463,133,37436171902534611,Ares,5,41601,579442629189006,37436171902617271,1,1,715,-31867/52666/15961,엔젤,100330004,37436171929797572,3,0,,1,1,133003,109357,소울세퍼레이터
874047289,2020-10-18 21:16:03.971,24870463,133,37436171902534611,Ares,5,41601,579442629189006,37436171902617271,1,1,715,-31867/52666/15961,엔젤,500740027,37436171929797574,4,0,,1,1,133003,109357,발보의 갑옷 조각
878116611,2020-10-18 21:43:35.124,25417296,133,37436171902552119,사마중달,1,48401,0,37436171902617261,1,1,829,331950/23196/1430,귀농연합,200240007,37436171929800810,4,0,,1,1,141186,73188,심판의 각반
879397532,2020-10-18 21:52:22.072,24503574,133,37436171902530557,로베,5,51101,0,37436171902617271,1053,1053,703,22418/-9905/980,엔젤,300340008,37436171929801755,4,0,,1,1,191015,41057,신성의 수호 반지
879833243,2020-10-18 21:55:20.287,8611269,133,37436171902528058,적대,4,43701,1085217977966958,37436171902617269,1,1,209,-183670/204850/8013,농사,500740022,37436171929802130,4,0,,1,1,113004,26751,사르카의 눈
881003040,2020-10-18 22:03:24.689,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,201,124554051785,502,-5101/-3594/66,귀농연합,510740035,37436171929803194,4,0,,1,1,988018,52959,명예의 휘장 (각인)
881055265,2020-10-18 22:03:46.071,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,201,124554051785,502,-5349/-4216/66,귀농연합,510740035,37436171929803194,4,0,,1,2,988018,128782,명예의 휘장 (각인)
881269834,2020-10-18 22:05:14.633,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,201,124554051785,502,-5446/-4383/66,귀농연합,510740035,37436171929803194,4,0,,1,2,988007,66862,명예의 휘장 (각인)
882542992,2020-10-18 22:13:56.833,24870463,133,37436171902534611,Ares,5,41601,975266815209144,37436171902617271,1,1,313,36660/136343/1092,엔젤,500740008,37436171929804217,4,0,,1,1,123006,117348,베히모스의 정수
883208849,2020-10-18 22:18:30.432,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,7001,700079676249,503,-399/-3537/25259,귀농연합,510730017,37436171929804668,3,0,,1,1,970101,73763,군주의 위엄 (각인)
884006864,2020-10-18 22:24:00.534,24870463,133,37436171902534611,Ares,5,41601,975266815209144,37436171902617271,1,1,809,312444/61159/3502,엔젤,500730008,37436171929805133,3,0,,1,1,143004,115147,글라키의 조각
885356370,2020-10-18 22:33:08.529,24503574,133,37436171902530557,로베,5,51101,0,37436171902617271,1053,1053,703,22689/-9704/980,엔젤,300340008,37436171929805912,4,0,,1,1,191015,79578,신성의 수호 반지
886131456,2020-10-18 22:38:23.086,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,7002,708669610842,504,-244333/199323/5418,귀농연합,510730017,37436171929804668,3,0,,1,2,970201,42555,군주의 위엄 (각인)
887583728,2020-10-18 22:48:14.673,24870463,133,37436171902534611,Ares,5,41601,975266815209144,37436171902617271,1037,1037,227,-78/-14107/3007,엔젤,500720001,37436171929807209,2,0,,1,1,173001,129618,수스켑터의 코어
888161636,2020-10-18 22:52:10.481,24712047,133,37436171902533080,킴크롱,4,48401,0,37436171902617280,1052,1052,702,-2268/-2579/1005,클라우드,300340008,37436171929807607,4,0,,1,1,192009,92579,신성의 수호 반지
888488126,2020-10-18 22:54:23.823,19217932,133,37436171902517251,서비,1,42301,0,37436171902617266,1,1,115,-227329/191188/13034,하모니,610340011,37436171929211644,4,0,,5,12,983002,81576,희귀 장신구 제작 레시피 조각 (각인)
888488586,2020-10-18 22:54:24.024,19217932,133,37436171902517251,서비,1,42301,0,37436171902617266,1,1,115,-227329/191188/13034,하모니,610340012,37436171927054413,4,0,,5,21,983002,81576,거인의 무기 제작 레시피 조각 (각인)
888979256,2020-10-18 22:57:44.179,25417296,133,37436171902552119,사마중달,1,48801,543158745278479,37436171902617261,7003,712964578139,505,298/-14109/3008,귀농연합,100340001,37436171929808157,4,0,,1,1,970301,97222,크리스
890025583,2020-10-18 23:04:56.238,24870463,133,37436171902534611,Ares,5,41601,460695373296696,37436171902617271,1,1,309,37897/318512/8456,엔젤,500364001,37436171929809050,4,0,,1,1,123001,30113,사제의 기록 (홀리 포커스)
890026616,2020-10-18 23:04:56.672,24870463,133,37436171902534611,Ares,5,41601,460695373296696,37436171902617271,1,1,309,37883/318520/8456,엔젤,500740010,37436171929809052,4,0,,1,1,123001,30113,메두사의 거울
890574712,2020-10-18 23:08:41.630,24870463,133,37436171902534611,Ares,5,41601,460695373296696,37436171902617271,1,1,803,251150/14140/9287,엔젤,500740036,37436171929809349,4,0,,1,1,143003,101289,히실로메의 비늘
891304465,2020-10-18 23:13:40.524,24870463,133,37436171902534611,Ares,5,41601,460695373296696,37436171902617271,1,1,829,333392/14878/1892,엔젤,500740037,37436171929809889,4,0,,1,1,143014,29056,란도르의 깃털